1716441523;
26985;
7716;
1256;
13790;
1662;
0;1718.66;
0;1708.23;
0.01;1698.7;
0.01;1691.9;
0.02;1698.25;
0.03;1684.64;
0.05;1664.68;
0.06;1649.72;
0.07;1643.37;
0.1;1629.76;
0.12;1609.8;
0.14;1595.74;
0.16;1583.94;
0.19;1568.52;
0.22;1554.91;
0.25;1545.84;
0.28;1541.31;
0.31;1525.88;
0.35;1506.38;
0.39;1507.29;
0.42;1485.97;
0.46;1479.16;
0.5;1474.18;
0.55;1451.04;
0.59;1453.31;
0.63;1434.26;
0.68;1420.2;
0.72;1422.47;
0.77;1418.84;
0.82;1400.69;
0.87;1396.16;
0.92;1404.78;
0.97;1400.24;
1.02;1378.01;
1.07;1376.65;
1.12;1386.63;
1.18;1377.56;
1.23;1354.88;
1.29;1352.16;
1.34;1341.27;
1.4;1318.14;
1.45;1303.62;
1.51;1297.73;
1.56;1299.54;
1.62;1303.17;
1.67;1334.47;
1.73;1363.95;
1.79;1386.63;
1.84;1385.27;
1.9;1402.96;
1.96;1402.05;
2.01;1391.17;
2.07;1332.2;
2.12;1300;
2.18;1284.12;
2.23;1231.5;
2.29;1210.18;
2.34;1233.32;
2.4;1367.13;
2.45;1430.63;
2.5;1537.68;
2.55;1695.98;
2.61;1845.21;
2.65;1961.33;
2.7;2121.45;
2.75;2315.59;
2.8;2493.4;
2.85;2621.76;
2.89;2702.05;
2.93;2746.05;
2.98;2792.31;
3.02;2871.69;
3.05;2936.56;
3.09;2987.36;
3.13;3008.22;
3.17;3049.96;
3.2;3062.2;
3.23;3059.93;
3.26;3032.72;
3.29;3040.43;
3.31;3054.49;
3.34;3090.32;
3.36;3103.48;
3.38;3167.44;
3.4;3326.65;
3.42;3443.67;
3.43;3545.28;
3.45;3579.75;
3.46;3651.42;
3.47;3817.43;
3.48;3928.11;
3.49;3994.33;
3.49;4091.4;
3.49;4207.98;
3.5;4308.22;
3.5;4379.43;
3.5;4417.99;
3.5;4435.68;
3.49;4446.11;
3.49;4445.21;
3.48;4421.62;
3.48;4412.09;
3.47;4395.31;
3.46;4413.91;
3.45;4410.73;
3.44;4408.01;
3.42;4423.89;
3.41;4447.47;
3.4;4464.26;
3.38;4460.17;
3.36;4452.46;
3.35;4460.63;
3.33;4458.36;
3.31;4453.37;
3.29;4476.96;
3.27;4516.42;
3.25;4539.55;
3.22;4543.18;
3.2;4546.81;
3.18;4557.24;
3.15;4535.47;
3.12;4508.25;
3.1;4467.88;
3.07;4463.8;
3.04;4474.24;
3.01;4476.05;
2.98;4484.21;
2.95;4492.83;
2.92;4512.34;
2.89;4511.88;
2.85;4489.2;
2.82;4480.13;
2.79;4467.43;
2.75;4457.91;
2.71;4444.75;
2.67;4447.02;
2.64;4460.63;
2.6;4475.14;
2.56;4482.4;
2.52;4486.03;
2.48;4504.17;
2.44;4512.34;
2.39;4496.91;
2.35;4481.49;
2.3;4476.05;
2.26;4463.8;
2.21;4462.9;
2.16;4455.64;
2.11;4473.78;
2.07;4525.04;
2.02;4549.08;
1.97;4530.48;
1.92;4542.27;
1.86;4546.81;
1.81;4540.01;
1.76;4518.23;
1.71;4499.18;
1.65;4494.19;
1.6;4510.52;
1.54;4533.2;
1.49;4552.71;
1.43;4574.48;
1.38;4598.52;
1.32;4603.96;
1.26;4574.93;
1.21;4528.67;
1.15;4491.02;
1.1;4437.04;
1.04;4395.31;
0.99;4364.01;
0.93;4433.41;
0.88;4548.62;
0.82;4650.68;
0.77;4702.39;
0.72;4760;
0.67;4797.65;
0.62;4775.42;
0.57;4595.8;
0.52;4277.38;
0.48;4084.15;
0.44;3909.51;
0.39;3732.61;
0.35;3578.39;
0.31;3437.78;
0.28;3327.1;
0.24;3169.25;
0.21;2891.65;
0.18;2711.58;
0.15;2661.68;
0.13;2581.85;
0.1;2489.77;
0.08;2399.96;
0.06;2262.52;
0.05;2183.14;
0.03;2097.41;
0.02;2033.45;
0.01;1901.91;
0.01;1757.67;
0;1721.84;
0;1718.66;

