1716441523;
26985;
7716;
1256;
13790;
1661;
0;1725.92;
0;1705.51;
0.01;1707.32;
0.01;1696.44;
0.02;1701.42;
0.03;1695.98;
0.05;1681.47;
0.06;1664.68;
0.07;1644.73;
0.1;1633.39;
0.12;1612.07;
0.14;1594.38;
0.16;1577.59;
0.19;1565.35;
0.22;1557.64;
0.25;1546.3;
0.28;1549.47;
0.31;1537.68;
0.35;1524.52;
0.39;1515;
0.42;1499.58;
0.46;1499.58;
0.5;1466.46;
0.55;1443.78;
0.59;1456.03;
0.63;1428.82;
0.68;1404.78;
0.72;1421.1;
0.77;1414.75;
0.82;1393.44;
0.87;1395.7;
0.92;1410.22;
0.97;1398.88;
1.02;1381.64;
1.07;1382.1;
1.12;1388.45;
1.18;1375.75;
1.23;1337.64;
1.29;1320.86;
1.34;1314.96;
1.4;1308.16;
1.45;1308.16;
1.51;1302.26;
1.56;1310.43;
1.62;1340.37;
1.67;1382.55;
1.73;1409.31;
1.79;1417.48;
1.84;1431.99;
1.9;1446.96;
1.96;1433.81;
2.01;1349.44;
2.07;1255.09;
2.12;1226.97;
2.18;1221.07;
2.23;1187.96;
2.29;1153.94;
2.34;1250.1;
2.4;1491.87;
2.45;1661.96;
2.5;1738.62;
2.55;1831.61;
2.61;1941.38;
2.65;2106.48;
2.7;2311.05;
2.75;2499.29;
2.8;2631.74;
2.84;2717.93;
2.89;2765.1;
2.93;2802.75;
2.98;2840.85;
3.02;2893.47;
3.05;2932.47;
3.09;2971.48;
3.13;2996.43;
3.17;3023.19;
3.2;3052.22;
3.23;3049.5;
3.26;3029.09;
3.29;3018.66;
3.31;3036.8;
3.34;3067.65;
3.36;3079.44;
3.38;3117.54;
3.4;3275.39;
3.42;3399.67;
3.43;3527.59;
3.45;3578.39;
3.46;3603.34;
3.47;3748.03;
3.48;3881.39;
3.49;3970.75;
3.49;4029.26;
3.49;4172.6;
3.5;4286.9;
3.5;4363.11;
3.5;4408.92;
3.5;4432.05;
3.49;4443.84;
3.49;4442.03;
3.48;4431.14;
3.48;4412.09;
3.47;4400.75;
3.46;4400.3;
3.45;4413;
3.44;4414.36;
3.42;4417.99;
3.41;4427.97;
3.4;4452.46;
3.38;4458.81;
3.36;4448.38;
3.35;4443.39;
3.33;4463.35;
3.31;4461.08;
3.29;4463.8;
3.27;4495.1;
3.25;4519.59;
3.22;4541.82;
3.2;4557.24;
3.18;4564.95;
3.15;4550.44;
3.12;4509.16;
3.1;4483.76;
3.07;4456.09;
3.04;4449.29;
3.01;4454.73;
2.98;4459.72;
2.95;4469.25;
2.92;4484.21;
2.89;4493.74;
2.85;4486.03;
2.82;4471.51;
2.79;4455.18;
2.75;4442.03;
2.71;4431.14;
2.67;4425.25;
2.64;4431.14;
2.6;4447.93;
2.56;4461.53;
2.52;4458.81;
2.48;4471.51;
2.44;4494.65;
2.39;4491.93;
2.35;4479.68;
2.3;4470.15;
2.26;4463.8;
2.21;4454.28;
2.16;4434.77;
2.11;4427.97;
2.07;4465.16;
2.02;4506.89;
1.97;4516.87;
1.92;4516.87;
1.86;4530.93;
1.81;4526.85;
1.76;4500.54;
1.71;4484.67;
1.65;4473.78;
1.6;4467.88;
1.54;4485.57;
1.49;4505.53;
1.43;4520.5;
1.38;4543.63;
1.32;4559.06;
1.26;4569.04;
1.21;4555.88;
1.15;4523.22;
1.1;4491.47;
1.04;4452.46;
0.99;4422.53;
0.93;4410.28;
0.88;4446.11;
0.82;4547.72;
0.77;4637.53;
0.72;4696.04;
0.67;4747.3;
0.62;4757.73;
0.57;4690.15;
0.52;4526.4;
0.48;4281.91;
0.44;4048.77;
0.39;3836.03;
0.35;3683.17;
0.31;3531.22;
0.28;3420.09;
0.24;3304.42;
0.21;3088.06;
0.18;2824.07;
0.15;2693.89;
0.13;2639.45;
0.1;2551;
0.08;2463.46;
0.06;2368.21;
0.05;2236.66;
0.03;2171.35;
0.02;2079.72;
0.01;2015.31;
0.01;1868.8;
0;1747.69;
0;1725.92;

