1716441523;
26985;
7716;
1256;
13790;
1665;
0;1716.85;
0;1703.24;
0.01;1706.87;
0.01;1702.79;
0.02;1695.98;
0.03;1676.93;
0.05;1669.22;
0.06;1656.52;
0.07;1636.11;
0.1;1619.32;
0.12;1598.46;
0.14;1586.21;
0.16;1569.43;
0.19;1562.63;
0.22;1559.9;
0.25;1546.3;
0.28;1541.31;
0.31;1532.69;
0.35;1525.43;
0.39;1513.64;
0.42;1494.59;
0.46;1495.04;
0.5;1473.27;
0.55;1455.58;
0.59;1454.22;
0.63;1436.07;
0.68;1422.47;
0.72;1427.46;
0.77;1422.01;
0.82;1402.96;
0.87;1406.59;
0.92;1415.21;
0.97;1406.59;
1.02;1391.17;
1.07;1390.71;
1.12;1392.53;
1.18;1387.54;
1.23;1363.05;
1.29;1356.24;
1.34;1345.35;
1.4;1327.66;
1.45;1318.14;
1.51;1317.23;
1.56;1316.33;
1.62;1323.58;
1.67;1358.06;
1.73;1385.27;
1.79;1399.79;
1.84;1408.86;
1.9;1424.73;
1.96;1428.36;
2.01;1401.6;
2.07;1330.39;
2.12;1283.67;
2.18;1267.34;
2.23;1231.96;
2.29;1206.56;
2.34;1202.02;
2.4;1346.72;
2.45;1471.45;
2.5;1588.93;
2.55;1718.21;
2.61;1885.58;
2.65;1981.29;
2.7;2147.76;
2.75;2352.33;
2.8;2514.72;
2.84;2624.49;
2.89;2702.5;
2.93;2766.91;
2.98;2809.1;
3.02;2872.15;
3.05;2932.93;
3.09;2980.1;
3.13;3004.6;
3.17;3031.81;
3.2;3057.21;
3.23;3058.12;
3.26;3042.7;
3.29;3032.72;
3.31;3057.67;
3.34;3093.05;
3.36;3104.39;
3.38;3153.83;
3.4;3293.08;
3.42;3431.43;
3.43;3541.2;
3.45;3596.08;
3.46;3638.26;
3.47;3797.93;
3.48;3887.74;
3.49;3977.55;
3.49;4058.29;
3.49;4212.51;
3.5;4315.48;
3.5;4388.51;
3.5;4418.44;
3.5;4437.04;
3.49;4447.93;
3.49;4443.84;
3.48;4432.5;
3.48;4409.37;
3.47;4396.67;
3.46;4406.2;
3.45;4422.53;
3.44;4427.52;
3.42;4429.78;
3.41;4449.29;
3.4;4456.09;
3.38;4451.56;
3.36;4439.31;
3.35;4432.05;
3.33;4444.75;
3.31;4442.03;
3.29;4456.55;
3.27;4505.08;
3.25;4528.21;
3.22;4561.32;
3.2;4542.27;
3.18;4547.72;
3.15;4536.83;
3.12;4512.34;
3.1;4474.69;
3.07;4460.63;
3.04;4459.72;
3.01;4460.17;
2.98;4466.98;
2.95;4480.13;
2.92;4495.1;
2.89;4500.09;
2.85;4490.11;
2.82;4474.69;
2.79;4460.63;
2.75;4445.66;
2.71;4430.24;
2.67;4426.15;
2.64;4434.32;
2.6;4440.67;
2.56;4452.46;
2.52;4464.26;
2.48;4474.69;
2.44;4499.64;
2.39;4495.1;
2.35;4475.14;
2.3;4469.7;
2.26;4450.19;
2.21;4449.74;
2.16;4447.93;
2.12;4447.93;
2.07;4467.88;
2.02;4515.06;
1.97;4527.76;
1.92;4514.6;
1.86;4528.21;
1.81;4523.22;
1.76;4497.82;
1.71;4482.4;
1.65;4475.14;
1.6;4477.41;
1.54;4487.84;
1.49;4504.17;
1.43;4527.76;
1.38;4549.53;
1.32;4566.77;
1.26;4563.14;
1.21;4539.55;
1.15;4511.88;
1.1;4476.96;
1.04;4439.31;
0.99;4408.92;
0.93;4406.65;
0.88;4453.82;
0.82;4562.69;
0.77;4648.87;
0.72;4704.66;
0.67;4752.74;
0.62;4757.28;
0.57;4681.07;
0.52;4496.46;
0.48;4214.78;
0.44;3997.51;
0.4;3783.87;
0.38;3636.45;
0.31;3490.39;
0.28;3376.54;
0.24;3251.8;
0.21;3027.28;
0.18;2794.13;
0.15;2684.81;
0.13;2617.23;
0.1;2522.43;
0.08;2442.59;
0.06;2338.72;
0.05;2213.08;
0.03;2138.69;
0.02;2066.11;
0.01;1983.56;
0.01;1832.97;
0;1734.54;
0;1716.85;

