1716441523;
26985;
7716;
1256;
13790;
1659;
0;1711.4;
0;1695.53;
0.01;1694.17;
0.01;1693.71;
0.02;1687.82;
0.03;1663.78;
0.05;1651.08;
0.06;1637.92;
0.07;1622.5;
0.1;1602.54;
0.12;1584.4;
0.14;1573.97;
0.16;1554.01;
0.19;1538.59;
0.22;1530.42;
0.25;1522.26;
0.28;1512.28;
0.31;1502.75;
0.35;1491.41;
0.39;1489.14;
0.42;1466.92;
0.46;1455.12;
0.5;1456.03;
0.55;1436.98;
0.59;1422.47;
0.63;1430.18;
0.68;1406.14;
0.72;1396.61;
0.77;1406.14;
0.82;1393.44;
0.87;1375.29;
0.92;1385.72;
0.97;1396.16;
1.02;1385.72;
1.07;1366.22;
1.12;1369.4;
1.18;1378.92;
1.23;1358.06;
1.29;1328.57;
1.34;1312.24;
1.4;1296.37;
1.45;1287.3;
1.51;1283.21;
1.56;1282.76;
1.62;1282.31;
1.67;1307.71;
1.73;1347.17;
1.79;1383.91;
1.84;1392.98;
1.9;1407.5;
1.96;1430.18;
2.01;1433.35;
2.07;1375.75;
2.12;1274.59;
2.18;1254.64;
2.23;1238.76;
2.29;1194.31;
2.34;1149.86;
2.4;1187.5;
2.45;1454.67;
2.5;1586.21;
2.55;1645.18;
2.61;1762.21;
2.65;1907.81;
2.7;2079.72;
2.75;2221.7;
2.8;2414.93;
2.84;2559.17;
2.89;2638.09;
2.93;2726.09;
2.98;2781.88;
3.02;2858.54;
3.05;2919.77;
3.09;2965.59;
3.13;3012.76;
3.17;3030;
3.2;3057.21;
3.23;3057.21;
3.26;3055.85;
3.29;3041.34;
3.31;3041.34;
3.34;3104.39;
3.36;3150.65;
3.38;3195.1;
3.4;3301.7;
3.42;3405.57;
3.43;3531.67;
3.45;3601.98;
3.46;3657.32;
3.47;3786.59;
3.48;3885.47;
3.49;3998.42;
3.49;4094.12;
3.49;4189.38;
3.5;4320.01;
3.5;4378.07;
3.5;4420.26;
3.5;4442.03;
3.49;4453.82;
3.49;4452.01;
3.48;4434.77;
3.48;4412.09;
3.47;4398.03;
3.46;4392.59;
3.45;4397.12;
3.44;4401.66;
3.42;4405.29;
3.41;4415.27;
3.4;4435.23;
3.38;4449.74;
3.36;4431.14;
3.35;4431.14;
3.33;4431.6;
3.31;4451.1;
3.29;4472.42;
3.27;4521.86;
3.25;4544.09;
3.22;4568.13;
3.2;4564.5;
3.18;4566.77;
3.15;4554.52;
3.12;4530.93;
3.1;4496.46;
3.07;4479.68;
3.04;4483.76;
3.01;4491.47;
2.98;4496.46;
2.95;4505.99;
2.92;4522.32;
2.89;4526.4;
2.85;4515.51;
2.82;4503.72;
2.79;4482.4;
2.75;4466.07;
2.71;4455.18;
2.67;4446.57;
2.64;4460.17;
2.6;4474.69;
2.56;4491.02;
2.52;4495.1;
2.48;4508.71;
2.44;4529.57;
2.39;4523.68;
2.35;4501.9;
2.3;4493.74;
2.26;4479.22;
2.21;4475.6;
2.19;4476.96;
2.11;4483.31;
2.07;4514.15;
2.02;4549.99;
1.97;4560.42;
1.92;4545;
1.86;4543.63;
1.81;4541.82;
1.76;4525.04;
1.71;4507.8;
1.65;4499.18;
1.6;4506.89;
1.54;4531.39;
1.49;4550.44;
1.43;4572.21;
1.38;4599.43;
1.32;4607.14;
1.26;4591.26;
1.21;4540.91;
1.15;4519.59;
1.1;4472.87;
1.04;4437.49;
0.99;4397.58;
0.93;4398.94;
0.88;4473.78;
0.82;4591.72;
0.77;4676.99;
0.72;4729.15;
0.67;4781.32;
0.62;4778.14;
0.57;4681.98;
0.52;4481.95;
0.48;4180.31;
0.44;3995.24;
0.39;3804.28;
0.35;3677.27;
0.31;3513.07;
0.28;3383.35;
0.24;3265.41;
0.21;3035.44;
0.18;2799.57;
0.15;2698.42;
0.13;2632.65;
0.1;2535.13;
0.08;2448.95;
0.06;2338.27;
0.05;2209.9;
0.03;2140.96;
0.02;2053.87;
0.01;1978.12;
0.01;1831.61;
0;1726.83
0;1711.4
