7692;
1353;
13790;
207;
1091829760;
1287;74;
1291;80;
1287;80;
1317;80;
1415;80;
1546;80;
1663;80;
1703;80;
1783;80;
1902;80;
2039;80;
2095;80;
2215;80;
2271;80;
2342;80;
2428;81;
2798;80;
2953;80;
3024;80;
3203;81;
3399;80;
3444;80;
3742;81;
3989;80;
4106;81;
4436;81;
4555;81;
4541;80;
4470;81;
4436;80;
4326;81;
4213;80;
4118;81;
4099;80;
4139;81;
4148;81;
4226;80;
4258;81;
4306;80;
4316;81;
4315;81;
4284;80;
4270;81;
4261;80;
4228;81;
4211;80;
4207;81;
4216;80;
4255;81;
4256;80;
4258;81;
4249;80;
4296;81;
4267;80;
4233;81;
4197;80;
4181;80;
4189;81;
4189;80;
4210;81;
4212;80;
4233;80;
4241;81;
4235;80;
4225;80;
4210;81;
4204;80;
4193;80;
4184;81;
4176;80;
4188;80;
4204;80;
4206;81;
4222;80;
4244;80;
4248;81;
4234;80;
4225;80;
4217;80;
4215;80;
4215;80;
4192;80;
4221;81;
4240;80;
4251;80;
4242;80;
4226;80;
4229;80;
4185;80;
4145;80;
4127;80;
4112;80;
4125;80;
4106;80;
4084;80;
4087;80;
4089;80;
4078;80;
4040;80;
4036;80;
4020;80;
4039;80;
4031;81;
4029;80;
4041;80;
4070;80;
4079;80;
4070;80;
4070;80;
4042;80;
4008;80;
3921;80;
3807;80;
3708;80;
3604;80;
3486;80;
3425;81;
3241;80;
3172;80;
3128;81;
3014;80;
2902;80;
2742;81;
2631;80;
2620;80;
2594;81;
2559;80;
2555;81;
2590;80;
2607;80;
2601;81;
2582;80;
2544;81;
2536;80;
2495;81;
2467;80;
2383;81;
2356;81;
2349;80;
2289;81;
2179;81;
2101;80;
1840;81;
1586;81;
1487;81;
1411;81;
1252;81;
1122;81;
970;81;
892;81;
765;81;
793;81;
788;81;
823;81;
862;81;
887;81;
956;81;
982;80;
978;81;
971;81;
942;81;
949;81;
920;81;
886;81;
859;81;
867;81;
869;81;
871;80;
905;81;
912;81;
930;81;
940;80;
925;81;
958;81;
964;80;
968;81;
989;80;
970;81;
967;80;
965;81;
1001;80;
990;81;
969;80;
1015;80;
1024;81;
1020;80;
1051;80;
1056;80;
1043;81;
1120;80;
1102;80;
1114;80;
1097;80;
1122;80;
1151;81;
1136;80;
1138;80;
1174;80;
1185;80;
1204;80;
1213;80;
1243;80;
1245;80;
1268;80;
1283;80;
1284;80;
1285;80;

