7743;
1305;
13790;
207;
1091895296;
1298;52;
1310;80;
1304;80;
1320;80;
1465;80;
1622;80;
1668;80;
1758;80;
1811;80;
1928;80;
2071;80;
2137;80;
2215;80;
2317;80;
2329;81;
2623;80;
2924;80;
3005;80;
3110;81;
3285;80;
3415;80;
3662;81;
3774;80;
4095;81;
4377;81;
4471;80;
4542;81;
4495;81;
4459;80;
4365;81;
4252;80;
4163;81;
4103;80;
4110;81;
4150;80;
4186;81;
4239;81;
4307;80;
4319;81;
4317;81;
4294;80;
4266;81;
4262;80;
4221;81;
4214;80;
4206;81;
4222;80;
4239;81;
4258;80;
4268;81;
4266;80;
4243;81;
4244;80;
4250;81;
4188;80;
4185;80;
4191;81;
4198;80;
4200;81;
4211;80;
4237;80;
4233;81;
4238;80;
4225;81;
4212;80;
4203;80;
4191;80;
4176;81;
4160;80;
4176;80;
4191;81;
4216;80;
4209;80;
4227;80;
4256;81;
4253;80;
4230;80;
4219;80;
4205;80;
4207;80;
4210;81;
4210;80;
4233;80;
4236;80;
4273;80;
4260;80;
4227;80;
4215;80;
4178;80;
4145;80;
4107;80;
4092;81;
4108;80;
4092;80;
4100;80;
4094;80;
4095;79;
4054;81;
4026;80;
4028;80;
4032;80;
4031;80;
4024;80;
4031;80;
4054;80;
4076;80;
4084;80;
4072;80;
4050;80;
4024;80;
3956;80;
3874;80;
3786;81;
3618;80;
3547;80;
3485;80;
3305;80;
3167;80;
3129;81;
3089;80;
2996;80;
2835;80;
2664;81;
2618;80;
2619;81;
2585;80;
2559;80;
2575;81;
2591;80;
2610;81;
2596;80;
2549;81;
2558;80;
2501;81;
2476;80;
2396;81;
2336;81;
2320;80;
2249;81;
2166;80;
2011;81;
1843;80;
1621;81;
1473;81;
1364;81;
1226;81;
1140;81;
1057;81;
795;81;
758;81;
769;81;
815;81;
828;81;
835;81;
922;81;
1012;81;
1027;81;
1009;81;
983;81;
978;81;
966;81;
922;80;
873;81;
877;81;
875;81;
884;81;
881;81;
898;81;
917;80;
921;81;
911;81;
966;80;
953;81;
942;81;
964;80;
987;81;
980;80;
962;81;
974;80;
986;81;
990;80;
984;80;
1015;81;
1040;80;
1022;80;
1058;81;
1056;80;
1064;80;
1091;80;
1082;81;
1117;80;
1116;80;
1118;80;
1142;80;
1134;80;
1145;80;
1195;80;
1181;80;
1187;81;
1219;80;
1250;80;
1247;80;
1270;80;
1272;80;
1295;80;
1289;80;
1295;80;

