7721;
1300;
13790;
207;
1091895296;
1297;65;
1319;80;
1319;80;
1331;80;
1394;80;
1552;80;
1622;80;
1716;80;
1758;80;
1869;80;
2017;80;
2083;80;
2163;80;
2269;81;
2322;80;
2437;80;
2812;80;
2942;80;
3029;81;
3147;80;
3383;80;
3491;81;
3653;80;
3952;81;
4293;80;
4344;81;
4516;81;
4509;81;
4465;80;
4410;81;
4321;80;
4207;81;
4130;80;
4123;81;
4146;80;
4207;81;
4237;80;
4275;81;
4316;81;
4304;80;
4291;81;
4277;81;
4251;80;
4236;81;
4204;80;
4205;81;
4219;80;
4223;81;
4243;80;
4260;81;
4263;80;
4251;81;
4267;80;
4254;81;
4216;80;
4182;80;
4162;81;
4183;80;
4187;80;
4203;81;
4215;80;
4230;81;
4243;80;
4222;80;
4223;81;
4216;80;
4201;80;
4187;81;
4158;80;
4170;80;
4175;81;
4196;80;
4204;80;
4224;80;
4241;81;
4255;80;
4242;80;
4225;80;
4214;80;
4205;81;
4221;80;
4202;80;
4214;80;
4234;80;
4265;80;
4269;80;
4235;80;
4228;80;
4193;80;
4143;81;
4114;80;
4090;80;
4104;80;
4091;80;
4082;80;
4082;80;
4108;80;
4076;80;
4058;80;
4042;80;
4045;80;
4050;80;
4033;80;
4043;80;
4049;80;
4073;80;
4081;80;
4087;80;
4074;80;
4057;80;
4017;80;
3905;80;
3847;81;
3688;80;
3591;80;
3550;80;
3410;80;
3264;80;
3145;80;
3116;81;
3069;80;
2893;80;
2733;81;
2641;80;
2633;80;
2607;81;
2570;80;
2571;81;
2585;80;
2597;81;
2604;80;
2581;81;
2557;80;
2529;81;
2500;80;
2416;81;
2376;80;
2334;81;
2285;80;
2260;81;
2122;81;
1913;81;
1757;80;
1563;81;
1422;81;
1336;81;
1187;81;
1076;81;
960;81;
783;81;
762;81;
780;81;
831;81;
829;81;
866;81;
979;81;
986;81;
1016;81;
984;81;
980;81;
974;81;
952;81;
905;80;
864;81;
881;81;
867;81;
878;81;
892;81;
912;81;
916;80;
924;81;
958;81;
962;80;
968;81;
956;80;
989;81;
985;81;
977;80;
982;81;
997;80;
996;81;
990;80;
1006;80;
1023;81;
1027;80;
1035;80;
1059;80;
1055;81;
1076;80;
1086;80;
1096;80;
1109;80;
1124;81;
1107;80;
1138;80;
1124;80;
1155;80;
1177;80;
1183;80;
1202;80;
1223;80;
1247;80;
1247;81;
1264;80;
1279;80;
1286;80;
1293;80;

