7432;
991;
13790;
207;
1092354048;
1126;33;
1141;80;
1141;80;
1142;80;
1258;80;
1347;80;
1483;80;
1586;80;
1602;80;
1751;80;
1889;80;
1915;80;
2038;80;
2112;80;
2170;80;
2371;81;
2782;80;
2871;80;
2941;81;
3158;80;
3250;80;
3439;81;
3791;81;
3882;80;
4198;81;
4368;81;
4361;80;
4341;81;
4250;81;
4176;80;
4088;81;
4013;80;
3977;81;
3999;80;
4015;81;
4076;80;
4114;81;
4143;81;
4149;80;
4165;81;
4157;81;
4120;80;
4100;81;
4078;80;
4064;81;
4060;80;
4067;81;
4090;80;
4114;81;
4123;80;
4124;81;
4108;80;
4107;81;
4099;80;
4065;80;
4038;81;
4040;80;
4041;81;
4073;80;
4078;80;
4081;81;
4095;80;
4099;81;
4072;80;
4063;80;
4056;81;
4047;80;
4037;80;
4026;80;
4035;81;
4048;80;
4069;80;
4089;80;
4109;81;
4124;80;
4114;80;
4097;80;
4082;81;
4075;80;
4058;80;
4038;80;
4049;80;
4100;80;
4099;80;
4109;81;
4093;80;
4091;80;
4058;80;
3997;80;
3983;80;
3951;80;
3931;80;
3940;80;
3931;80;
3926;80;
3946;80;
3926;80;
3908;80;
3898;80;
3895;80;
3892;80;
3878;80;
3873;80;
3896;80;
3914;80;
3934;80;
3941;80;
3943;80;
3926;80;
3893;80;
3846;80;
3733;81;
3629;80;
3517;80;
3391;80;
3301;80;
3177;81;
3064;80;
3002;80;
2937;80;
2765;81;
2665;80;
2583;80;
2520;81;
2496;80;
2426;81;
2418;80;
2445;80;
2440;81;
2456;80;
2433;81;
2408;80;
2404;81;
2332;80;
2300;81;
2253;80;
2218;81;
2206;81;
2160;80;
2116;81;
2015;81;
1777;80;
1574;81;
1438;81;
1277;81;
1187;81;
1101;81;
952;81;
696;81;
593;81;
593;81;
631;81;
644;81;
651;81;
724;81;
799;81;
861;81;
823;81;
812;81;
807;81;
794;81;
772;81;
713;81;
699;80;
691;81;
686;81;
692;81;
703;81;
717;81;
715;80;
744;81;
777;81;
764;80;
775;81;
781;81;
811;80;
801;81;
775;80;
797;81;
813;80;
814;81;
807;80;
836;80;
841;81;
838;80;
867;80;
866;81;
873;80;
911;80;
904;80;
924;80;
934;81;
944;80;
966;80;
954;80;
982;80;
982;80;
1028;80;
1020;80;
1046;80;
1055;80;
1076;80;
1083;80;
1093;81;
1116;80;
1111;80;
1124;80;

