7308;
443;
13790;
208;
1093664768;
867;56;
891;80;
914;80;
918;80;
1027;80;
1175;80;
1258;80;
1350;80;
1449;80;
1561;80;
1666;80;
1797;80;
1888;80;
1949;80;
2063;80;
2260;80;
2477;81;
2799;80;
2859;80;
2957;81;
3149;80;
3319;80;
3531;81;
3830;80;
4110;81;
4276;81;
4305;81;
4278;80;
4229;81;
4149;81;
4043;80;
3927;81;
3892;80;
3902;81;
3921;80;
3977;81;
4028;81;
4086;80;
4127;81;
4140;81;
4125;80;
4098;81;
4068;81;
4036;80;
4018;81;
3999;80;
4018;81;
4040;80;
4049;81;
4085;80;
4069;81;
4059;80;
4066;81;
4035;80;
3971;81;
3945;80;
3942;80;
3964;81;
3975;80;
3986;81;
4017;80;
4047;81;
4052;80;
4043;80;
4021;81;
4009;80;
3978;80;
3984;81;
3935;80;
3947;80;
3951;80;
3981;81;
4004;80;
4020;80;
4055;81;
4046;80;
4040;80;
3997;80;
3976;80;
3967;80;
3945;81;
3930;80;
3939;80;
3987;80;
4027;80;
4014;80;
4007;80;
4026;80;
3992;80;
3934;80;
3894;80;
3890;80;
3900;80;
3882;81;
3879;80;
3870;80;
3879;80;
3862;80;
3848;80;
3854;80;
3842;80;
3839;80;
3838;80;
3824;80;
3836;81;
3865;79;
3879;81;
3892;80;
3888;80;
3869;80;
3847;80;
3778;80;
3695;80;
3558;80;
3403;80;
3337;80;
3220;81;
3013;80;
2978;80;
2887;81;
2797;80;
2669;80;
2448;81;
2415;80;
2374;80;
2290;81;
2256;80;
2266;81;
2285;80;
2294;80;
2309;81;
2284;80;
2286;81;
2224;80;
2211;81;
2126;81;
2075;80;
2048;81;
2003;80;
1985;81;
1944;81;
1786;81;
1594;80;
1414;81;
1157;81;
1024;81;
952;81;
852;81;
794;81;
475;81;
206;82;
209;81;
294;81;
319;81;
304;81;
350;81;
552;81;
609;81;
609;81;
559;81;
555;81;
566;81;
502;81;
434;81;
408;81;
395;81;
397;81;
392;81;
426;81;
438;81;
471;80;
522;81;
537;81;
517;80;
506;81;
528;81;
538;80;
531;81;
520;80;
534;81;
546;80;
546;81;
541;80;
571;80;
590;81;
611;80;
647;80;
629;81;
656;80;
678;80;
677;80;
693;80;
690;80;
701;81;
714;80;
720;80;
738;80;
751;80;
763;80;
779;80;
797;80;
817;80;
827;80;
839;80;
848;80;
858;80;
874;81;
873;80;

