7306;
382;
13790;
207;
1093271552;
889;34;
899;80;
891;80;
925;80;
1029;80;
1089;80;
1242;80;
1306;80;
1371;80;
1521;80;
1621;80;
1733;80;
1865;80;
1910;80;
1988;80;
2135;80;
2359;81;
2633;80;
2876;80;
2941;80;
3034;81;
3335;81;
3490;80;
4003;81;
4154;81;
4307;80;
4274;81;
4254;81;
4235;80;
4088;81;
4079;80;
3887;81;
3901;80;
3913;81;
3940;80;
4012;81;
4013;81;
4158;81;
4143;80;
4156;81;
4112;81;
4091;80;
4076;81;
4035;80;
4019;81;
3986;80;
4026;81;
4041;80;
4047;81;
4077;80;
4073;81;
4076;80;
4057;81;
4027;80;
3986;81;
3949;80;
3952;81;
3971;80;
3968;80;
3996;81;
4017;80;
4037;81;
4051;80;
4037;80;
4013;81;
3999;80;
3977;80;
3943;81;
3939;80;
3943;80;
3973;80;
3990;81;
4009;80;
4036;80;
4070;81;
4042;80;
4014;80;
4000;80;
3975;80;
3963;80;
3943;81;
3945;80;
4006;80;
4005;80;
4029;80;
4029;80;
4022;80;
4009;80;
3980;80;
3927;80;
3887;80;
3882;80;
3870;81;
3865;80;
3859;80;
3878;79;
3866;80;
3879;80;
3860;81;
3853;80;
3852;80;
3850;80;
3830;80;
3853;80;
3856;80;
3891;80;
3900;80;
3900;80;
3887;80;
3876;80;
3807;80;
3677;80;
3631;80;
3432;80;
3329;80;
3273;81;
3069;80;
3008;80;
2969;81;
2804;80;
2689;80;
2573;81;
2447;80;
2389;80;
2363;81;
2253;80;
2252;81;
2279;80;
2282;80;
2299;81;
2290;80;
2289;81;
2257;80;
2224;81;
2212;81;
2153;80;
2125;81;
2102;80;
2091;81;
2086;81;
2080;80;
2043;81;
1996;81;
1841;80;
1655;81;
1525;81;
1360;81;
1180;81;
1025;80;
894;81;
735;81;
624;82;
336;81;
137;81;
205;81;
241;81;
303;81;
317;81;
431;81;
590;81;
598;81;
593;81;
567;81;
551;81;
508;81;
470;81;
412;81;
382;81;
376;81;
386;80;
447;81;
472;81;
475;81;
512;80;
544;81;
573;80;
561;81;
545;80;
570;81;
557;80;
552;81;
557;80;
569;81;
581;80;
597;80;
607;80;
640;81;
652;80;
664;80;
694;80;
704;80;
718;81;
728;80;
714;80;
736;80;
740;80;
736;80;
755;80;
768;80;
807;80;
807;80;
822;80;
849;80;
875;81;
863;80;
878;80;
883;80;

