7332;
328;
13790;
207;
1093730304;
841;6;
862;80;
871;80;
877;81;
942;79;
1011;80;
1194;80;
1313;80;
1326;80;
1467;81;
1615;80;
1658;80;
1827;80;
1902;80;
1938;80;
2110;80;
2297;80;
2529;81;
2810;80;
2851;80;
3028;81;
3238;80;
3360;80;
3686;81;
3954;81;
4195;80;
4299;81;
4310;81;
4296;80;
4213;81;
4117;81;
3999;80;
3932;81;
3930;80;
3957;81;
4000;80;
4047;81;
4097;81;
4149;80;
4150;81;
4149;81;
4124;80;
4101;81;
4066;81;
4043;80;
4027;81;
4014;80;
4036;81;
4062;80;
4103;81;
4110;80;
4093;81;
4075;80;
4075;81;
4029;80;
3981;81;
3949;80;
3956;80;
3984;81;
3992;80;
4010;81;
4033;80;
4052;81;
4076;80;
4053;80;
4033;81;
4032;80;
3995;80;
3944;81;
3950;80;
3961;80;
3995;81;
4007;80;
4034;80;
4061;80;
4077;81;
4058;80;
4035;80;
4005;80;
3975;80;
3970;81;
3950;80;
3958;80;
4013;80;
4025;80;
4050;80;
4050;80;
4046;80;
4039;80;
4005;80;
3976;80;
3909;80;
3885;80;
3893;81;
3868;80;
3875;80;
3892;79;
3907;80;
3870;80;
3868;81;
3860;80;
3859;80;
3848;80;
3839;80;
3852;80;
3857;80;
3885;80;
3896;80;
3895;80;
3884;80;
3859;80;
3785;80;
3698;81;
3562;79;
3472;80;
3344;81;
3210;80;
3100;80;
2987;80;
2880;81;
2827;80;
2661;80;
2517;81;
2428;80;
2395;80;
2358;81;
2281;80;
2273;81;
2298;80;
2289;81;
2303;80;
2298;81;
2275;80;
2254;81;
2214;80;
2156;81;
2100;80;
2053;81;
2000;81;
1989;80;
1934;81;
1836;81;
1714;80;
1447;81;
1209;81;
1092;81;
941;81;
843;81;
775;81;
525;81;
264;81;
170;81;
227;81;
256;81;
268;82;
301;81;
372;81;
564;81;
580;80;
564;81;
532;81;
540;81;
510;81;
427;81;
392;81;
367;81;
375;81;
371;81;
368;81;
410;81;
422;80;
432;81;
501;81;
502;80;
489;81;
499;81;
508;80;
514;81;
507;80;
491;81;
528;80;
513;81;
518;80;
538;81;
546;80;
559;80;
579;80;
600;81;
615;80;
648;80;
648;80;
658;80;
664;81;
671;80;
680;80;
688;80;
712;80;
731;80;
728;80;
749;80;
780;80;
783;80;
804;81;
793;80;
816;80;
838;80;
843;80;

