7318;
579;
13790;
208;
1093206016;
971;48;
979;80;
991;80;
994;80;
1049;80;
1202;80;
1287;80;
1379;80;
1472;80;
1579;81;
1686;80;
1812;80;
1914;80;
1950;80;
2065;80;
2251;80;
2385;80;
2819;81;
2921;80;
2955;80;
3059;81;
3350;80;
3431;80;
3818;81;
4029;81;
4244;80;
4276;81;
4227;81;
4250;81;
4114;80;
4029;81;
3952;80;
3872;81;
3886;80;
3887;81;
3952;80;
3989;81;
4048;81;
4114;80;
4113;81;
4102;81;
4067;80;
4041;81;
4015;80;
3981;81;
3982;80;
3990;81;
3999;80;
4012;81;
4046;81;
4046;80;
4032;81;
4053;80;
4011;80;
3983;81;
3951;80;
3944;81;
3946;80;
3936;81;
3967;80;
3995;80;
4027;81;
4039;80;
4053;81;
4031;80;
4021;80;
3971;81;
3970;80;
3901;80;
3903;80;
3922;80;
3944;80;
3960;81;
3981;80;
4016;80;
4032;80;
4026;81;
3997;80;
3987;80;
3978;80;
3953;80;
3941;80;
3930;80;
3977;81;
3997;80;
4004;80;
4016;80;
4004;80;
3997;80;
3988;80;
3931;80;
3919;80;
3884;80;
3886;80;
3874;80;
3857;80;
3868;80;
3856;80;
3825;80;
3820;80;
3814;80;
3826;80;
3808;80;
3797;80;
3808;80;
3807;80;
3830;80;
3838;81;
3841;80;
3827;80;
3816;80;
3759;80;
3599;80;
3550;80;
3356;80;
3319;80;
3194;81;
3028;80;
2963;80;
2880;81;
2718;80;
2641;80;
2494;80;
2432;81;
2355;80;
2340;81;
2257;80;
2287;80;
2289;81;
2276;80;
2303;81;
2296;80;
2290;81;
2243;80;
2239;81;
2224;80;
2183;81;
2146;81;
2127;80;
2133;81;
2118;80;
2080;81;
2011;81;
1917;80;
1707;81;
1488;81;
1360;81;
1201;81;
1005;81;
921;81;
814;81;
633;81;
409;81;
294;81;
337;81;
407;81;
435;81;
453;81;
568;81;
674;81;
714;81;
691;81;
659;81;
646;81;
618;80;
568;81;
518;81;
491;81;
504;81;
516;81;
555;81;
570;80;
578;81;
605;81;
613;80;
626;81;
626;80;
635;81;
656;80;
649;81;
638;80;
647;81;
652;80;
646;80;
659;81;
690;80;
706;80;
731;80;
746;81;
773;80;
806;80;
810;80;
826;80;
820;80;
832;81;
835;80;
833;80;
849;80;
841;80;
855;80;
888;80;
926;80;
943;80;
942;80;
957;80;
964;80;
968;80;
991;80;

