7294;
491;
13790;
207;
1093140480;
977;2;
993;80;
993;80;
981;80;
1017;80;
1129;80;
1246;80;
1335;80;
1416;80;
1534;80;
1622;80;
1758;80;
1832;80;
1924;80;
2006;80;
2096;81;
2311;80;
2576;80;
2829;80;
2917;81;
2951;80;
3168;81;
3374;80;
3567;81;
3965;80;
4136;81;
4260;81;
4244;80;
4226;81;
4186;81;
4059;80;
3946;81;
3871;80;
3884;81;
3892;80;
3919;81;
3978;80;
4006;81;
4108;81;
4096;80;
4098;81;
4064;81;
4046;80;
4029;81;
3994;80;
3978;81;
3974;80;
3983;81;
4015;80;
4031;81;
4033;80;
4036;81;
4019;80;
4015;81;
3996;80;
3958;81;
3940;80;
3925;81;
3946;80;
3958;80;
3970;81;
3997;80;
4016;81;
4040;80;
4041;80;
4021;81;
3980;80;
3967;80;
3940;81;
3928;80;
3915;80;
3945;80;
3971;81;
3986;80;
4007;80;
4024;81;
4035;80;
4008;80;
3979;80;
3970;80;
3962;80;
3945;81;
3939;80;
3963;80;
3975;80;
3991;80;
3995;80;
3995;80;
3993;80;
3942;80;
3890;80;
3881;80;
3898;80;
3872;80;
3859;80;
3846;80;
3855;80;
3836;80;
3822;80;
3806;80;
3804;80;
3802;80;
3799;80;
3790;80;
3787;80;
3819;80;
3831;80;
3839;80;
3840;80;
3831;80;
3793;80;
3684;81;
3570;80;
3445;80;
3335;80;
3197;80;
3092;80;
2993;80;
2912;81;
2827;80;
2707;80;
2561;81;
2440;80;
2401;80;
2345;81;
2291;80;
2255;81;
2285;80;
2277;81;
2313;80;
2296;81;
2288;80;
2297;81;
2240;80;
2233;81;
2184;80;
2159;81;
2126;80;
2093;81;
2101;81;
2087;80;
2020;81;
1937;81;
1716;80;
1490;81;
1374;81;
1195;81;
1058;81;
951;81;
865;81;
663;81;
424;81;
301;81;
336;81;
402;81;
429;81;
426;81;
558;81;
699;81;
731;81;
695;81;
672;81;
654;81;
642;81;
584;81;
510;81;
485;80;
494;81;
507;81;
532;81;
557;81;
563;80;
593;81;
630;81;
632;80;
632;81;
640;80;
655;81;
636;80;
626;81;
633;80;
650;81;
646;80;
653;80;
684;81;
705;80;
726;80;
759;80;
759;80;
783;81;
804;80;
814;80;
830;80;
819;80;
830;80;
841;80;
839;81;
842;80;
869;80;
883;80;
898;80;
922;80;
921;80;
944;80;
964;80;
974;80;
973;80;

