1716441623;
26985;
7743;
1305;
13790;
1661;
4;2194;
17;2230;
39;2232;
70;2240;
109;2505;
157;2730;
213;2861;
278;3027;
351;3156;
433;3367;
522;3522;
620;3709;
725;3833;
838;3928;
958;4127;
1085;4756;
1220;5020;
1361;5140;
1509;5445;
1663;5678;
1823;5854;
1989;6361;
2161;6781;
2338;6980;
2520;7541;
2706;7743;
2898;7719;
3093;7599;
3293;7480;
3496;7279;
3702;7077;
3912;6971;
4124;6985;
4339;7039;
4555;7100;
4774;7185;
4994;7294;
5216;7357;
5439;7352;
5662;7318;
5886;7242;
6110;7243;
6334;7184;
6557;7175;
6780;7151;
7002;7167;
7223;7235;
7443;7235;
7661;7238;
7877;7223;
8091;7303;
8303;7253;
8513;7143;
8719;7134;
8923;7107;
9125;7131;
9322;7155;
9517;7157;
9708;7182;
9896;7206;
10079;7209;
10259;7162;
10435;7155;
10607;7165;
10775;7134;
10939;7126;
11098;7095;
11252;7109;
11403;7136;
11548;7150;
11689;7177;
11826;7187;
11958;7218;
12085;7197;
12207;7182;
12324;7180;
12437;7165;
12545;7165;
12648;7126;
12746;7175;
12840;7208;
12928;7219;
13012;7211;
13091;7184;
13165;7177;
13234;7114;
13298;7029;
13358;6992;
13412;6995;
13462;7007;
13507;6947;
13548;6941;
13583;6968;
13614;6949;
13640;6913;
13662;6857;
13678;6854;
13690;6881;
13697;6844;
13700;6849;
13836;6862;
13830;6919;
13819;6934;
13804;6934;
13784;6919;
13759;6871;
13730;6813;
13695;6665;
13656;6471;
13612;6220;
13563;6126;
13509;5926;
13451;5695;
13388;5429;
13320;5392;
13247;5259;
13169;5123;
13086;4868;
12998;4557;
12906;4454;
12808;4452;
12706;4401;
12599;4374;
12487;4387;
12370;4392;
12248;4426;
12121;4421;
11990;4343;
11854;4336;
11713;4241;
11568;4193;
11418;4051;
11263;4023;
11104;3993;
10941;3891;
10773;3704;
10601;3571;
10425;3128;
10245;2696;
10061;2480;
9873;2398;
9681;2128;
9486;1807;
9287;1596;
9086;1516;
8881;1305;
8673;1356;
8463;1377;
8250;1426;
8035;1507;
7817;1572;
7598;1683;
7377;1654;
7155;1659;
6931;1626;
6706;1613;
6481;1594;
6255;1523;
6030;1460;
5804;1473;
5578;1468;
5353;1480;
5129;1538;
4907;1548;
4686;1581;
4466;1598;
4249;1609;
4034;1628;
3822;1638;
3612;1645;
3406;1657;
3204;1649;
3005;1635;
2810;1677;
2620;1711;
2435;1688;
2255;1708;
2079;1744;
1910;1737;
1746;1734;
1588;1795;
1436;1773;
1291;1841;
1153;1876;
1022;1905;
898;1888;
781;1892;
671;1956;
570;1931;
476;1949;
391;1995;
313;2014;
244;2046;
183;2062;
131;2113;
87;2138;
52;2155;
26;2181;
8;2169;
0;2189;

