1716441706;
26985;
7660;
1261;
13790;
1662;
4;2208;
17;2204;
39;2223;
70;2233;
109;2417;
157;2631;
213;2803;
278;2932;
351;3017;
433;3260;
522;3474;
620;3627;
725;3779;
838;3933;
958;3998;
1085;4489;
1220;4892;
1361;5161;
1509;5292;
1663;5708;
1823;5858;
1989;6174;
2161;6723;
2338;7083;
2520;7423;
2706;7660;
2898;7651;
3093;7558;
3293;7468;
3496;7286;
3702;7134;
3912;7060;
4124;7055;
4339;7097;
4555;7148;
4774;7208;
4994;7282;
5216;7328;
5439;7313;
5662;7270;
5886;7252;
6110;7202;
6334;7168;
6557;7141;
6780;7153;
7002;7180;
7223;7209;
7443;7226;
7661;7248;
7877;7219;
8091;7257;
8303;7209;
8513;7163;
8719;7099;
8923;7087;
9125;7112;
9322;7111;
9517;7157;
9708;7170;
9896;7189;
10079;7209;
10259;7177;
10435;7143;
10607;7145;
10775;7140;
10939;7124;
11098;7095;
11252;7097;
11403;7141;
11548;7153;
11689;7167;
11826;7211;
11958;7221;
12085;7204;
12207;7187;
12324;7165;
12437;7148;
12545;7163;
12648;7134;
12746;7170;
12840;7223;
12928;7231;
13012;7228;
13091;7189;
13165;7163;
13234;7095;
13298;7029;
13358;7009;
13412;6976;
13462;6976;
13507;6947;
13548;6939;
13583;6966;
13614;6951;
13640;6919;
13662;6876;
13678;6856;
13690;6876;
13697;6854;
13700;6849;
13836;6878;
13830;6936;
13819;6934;
13804;6944;
13784;6942;
13759;6879;
13730;6825;
13695;6679;
13656;6473;
13612;6179;
13563;6063;
13509;5909;
13451;5689;
13388;5397;
13320;5361;
13247;5249;
13169;5140;
13086;4794;
12998;4496;
12906;4464;
12808;4437;
12706;4355;
12599;4355;
12487;4357;
12370;4392;
12248;4403;
12121;4379;
11990;4335;
11854;4297;
11713;4233;
11568;4158;
11418;4020;
11263;3969;
11104;3915;
10941;3791;
10773;3580;
10601;3269;
10425;2844;
10245;2607;
10061;2448;
9873;2172;
9681;1955;
9486;1778;
9287;1438;
9086;1261;
8881;1326;
8673;1373;
8463;1392;
8250;1451;
8035;1623;
7817;1728;
7598;1715;
7377;1679;
7155;1671;
6931;1647;
6706;1630;
6481;1540;
6255;1494;
6030;1501;
5804;1482;
5578;1513;
5353;1497;
5129;1548;
4907;1558;
4686;1618;
4466;1640;
4249;1615;
4034;1613;
3822;1657;
3612;1667;
3406;1664;
3204;1642;
3005;1659;
2810;1693;
2620;1686;
2435;1703;
2255;1727;
2079;1740;
1910;1781;
1746;1791;
1588;1800;
1436;1832;
1291;1847;
1153;1868;
1022;1881;
898;1887;
781;1919;
671;1921;
570;1944;
476;1960;
391;2004;
313;2031;
244;2046;
183;2087;
131;2118;
87;2136;
52;2152;
26;2189;
8;2196;
0;2187;

