1716446839;
26985;
7425;
1008;
13790;
1659;
4;1915;
17;1927;
39;1939;
70;1963;
109;2048;
157;2390;
213;2476;
278;2643;
351;2764;
433;3015;
522;3190;
620;3284;
725;3481;
838;3607;
958;3680;
1085;4173;
1220;4729;
1361;4880;
1509;4999;
1663;5368;
1823;5628;
1989;5846;
2161;6444;
2338;6890;
2520;7218;
2706;7425;
2898;7398;
3093;7347;
3293;7175;
3496;7015;
3702;6893;
3912;6777;
4124;6759;
4339;6788;
4555;6890;
4774;6997;
4994;7043;
5216;7063;
5439;7072;
5662;7066;
5886;7004;
6110;6956;
6334;6932;
6557;6908;
6780;6912;
7002;6913;
7223;6953;
7443;6988;
7661;7009;
7877;7010;
8091;7029;
8303;6981;
8513;6924;
8719;6888;
8923;6868;
9125;6866;
9322;6886;
9517;6924;
9708;6924;
9896;6956;
10079;6980;
10259;6942;
10435;6915;
10607;6895;
10775;6895;
10939;6862;
11098;6844;
11252;6859;
11403;6881;
11548;6917;
11689;6951;
11826;6990;
11958;7010;
12085;6992;
12207;6951;
12324;6927;
12437;6920;
12545;6907;
12648;6886;
12746;6896;
12840;6973;
12928;6973;
13012;6976;
13091;6958;
13165;6927;
13234;6845;
13298;6771;
13358;6742;
13412;6682;
13462;6698;
13507;6679;
13548;6674;
13583;6708;
13614;6674;
13640;6643;
13662;6626;
13678;6623;
13690;6618;
13697;6592;
13700;6589;
13836;6631;
13830;6677;
13819;6698;
13804;6696;
13784;6684;
13759;6648;
13730;6590;
13695;6422;
13656;6169;
13612;6058;
13563;5858;
13509;5611;
13451;5400;
13388;5205;
13320;5103;
13247;4992;
13169;4700;
13086;4530;
12998;4391;
12906;4284;
12808;4243;
12706;4124;
12599;4108;
12487;4154;
12370;4148;
12248;4165;
12121;4105;
11990;4088;
11854;4061;
11713;3969;
11568;3874;
11418;3787;
11263;3753;
11104;3694;
10941;3639;
10773;3425;
10601;3180;
10425;2738;
10245;2444;
10061;2170;
9873;2017;
9681;1871;
9486;1618;
9287;1183;
9086;1008;
8881;1008;
8673;1072;
8463;1113;
8250;1111;
8035;1230;
7817;1373;
7598;1453;
7377;1394;
7155;1380;
6931;1390;
6706;1337;
6481;1264;
6255;1200;
6030;1181;
5804;1176;
5578;1176;
5353;1176;
5129;1227;
4907;1215;
4686;1264;
4466;1326;
4249;1298;
4034;1317;
3822;1327;
3612;1378;
3406;1361;
3204;1314;
3005;1370;
2810;1382;
2620;1380;
2435;1371;
2255;1424;
2079;1433;
1910;1438;
1746;1489;
1588;1492;
1436;1499;
1291;1579;
1153;1558;
1022;1598;
898;1584;
781;1616;
671;1621;
570;1633;
476;1669;
391;1747;
313;1734;
244;1778;
183;1793;
131;1829;
87;1880;
52;1858;
26;1917;
8;1893;
0;1910;

