1716985091;
26985;
7301;
438;
32423;
1668;
4;1506;
17;1543;
39;1553;
70;1598;
109;1820;
157;2048;
213;2247;
278;2318;
351;2541;
433;2798;
522;2891;
620;3119;
725;3260;
838;3389;
958;3665;
1085;4083;
1220;4673;
1361;4826;
1509;4994;
1663;5309;
1823;5661;
1989;5865;
2161;6621;
2338;6976;
2520;7301;
2706;7282;
2898;7257;
3093;7141;
3293;6954;
3496;6852;
3702;6604;
3912;6618;
4124;6657;
4339;6715;
4555;6794;
4774;6956;
4994;7044;
5216;7049;
5439;7029;
5662;6973;
5886;6949;
6110;6868;
6334;6825;
6557;6796;
6780;6793;
7002;6813;
7223;6876;
7443;6932;
7661;6893;
7877;6895;
8091;6866;
8303;6839;
8513;6762;
8719;6681;
8923;6718;
9125;6738;
9322;6750;
9517;6781;
9708;6834;
9896;6856;
10079;6873;
10259;6849;
10435;6794;
10607;6800;
10775;6743;
10939;6667;
11098;6679;
11252;6691;
11403;6732;
11548;6827;
11689;6818;
11826;6866;
11958;6873;
12085;6851;
12207;6800;
12324;6733;
12437;6711;
12545;6706;
12648;6686;
12746;6752;
12840;6783;
12928;6813;
13012;6828;
13091;6827;
13165;6808;
13234;6779;
13298;6691;
13358;6631;
13412;6599;
13462;6594;
13507;6570;
13548;6567;
13583;6567;
13614;6551;
13640;6563;
13662;6521;
13678;6550;
13690;6522;
13697;6538;
13700;6536;
13836;6538;
13830;6580;
13819;6611;
13804;6623;
13784;6613;
13759;6577;
13730;6490;
13695;6307;
13656;6191;
13612;5914;
13563;5754;
13509;5545;
13451;5312;
13388;5152;
13320;5011;
13247;4693;
13169;4581;
13086;4280;
12998;4231;
12906;4080;
12808;3979;
12706;3833;
12599;3867;
12487;3869;
12370;3884;
12248;3901;
12121;3908;
11990;3881;
11854;3797;
11713;3763;
11568;3702;
11418;3622;
11263;3510;
11104;3485;
10941;3483;
10773;3440;
10601;3313;
10425;3082;
10245;2788;
10061;2340;
9873;2000;
9681;1807;
9486;1674;
9287;1319;
9086;989;
8881;766;
8673;537;
8463;438;
8250;467;
8035;566;
7817;603;
7598;729;
7377;861;
7155;940;
6931;943;
6706;912;
6481;907;
6255;858;
6030;834;
5804;751;
5578;697;
5353;664;
5129;690;
4907;731;
4686;805;
4466;853;
4249;853;
4034;938;
3822;952;
3612;933;
3406;952;
3204;962;
3005;945;
2810;955;
2620;958;
2435;946;
2255;969;
2079;979;
1910;1025;
1746;1052;
1588;1118;
1436;1130;
1291;1159;
1153;1210;
1022;1210;
898;1217;
781;1203;
671;1222;
570;1241;
476;1261;
391;1298;
313;1288;
244;1341;
183;1385;
131;1414;
87;1426;
52;1479;
26;1477;
8;1492;
0;1485;

