1716985242;
26985;
7310;
460;
32423;
1669;
4;1509;
17;1514;
39;1564;
70;1650;
109;1851;
157;2040;
213;2220;
278;2330;
351;2482;
433;2755;
522;2946;
620;3104;
725;3247;
838;3379;
958;3629;
1085;4010;
1220;4476;
1361;4924;
1509;4999;
1663;5157;
1823;5703;
1989;5778;
2161;6407;
2338;6890;
2520;7303;
2706;7310;
2898;7230;
3093;7174;
3293;6944;
3496;6898;
3702;6631;
3912;6616;
4124;6633;
4339;6703;
4555;6820;
4774;6913;
4994;7060;
5216;7051;
5439;7029;
5662;6976;
5886;6929;
6110;6873;
6334;6835;
6557;6811;
6780;6811;
7002;6856;
7223;6856;
7443;6939;
7661;6900;
7877;6883;
8091;6903;
8303;6835;
8513;6776;
8719;6713;
8923;6699;
9125;6743;
9322;6754;
9517;6779;
9708;6820;
9896;6879;
10079;6907;
10259;6862;
10435;6818;
10607;6803;
10775;6762;
10939;6692;
11098;6692;
11252;6706;
11403;6772;
11548;6822;
11689;6837;
11826;6876;
11958;6893;
12085;6862;
12207;6777;
12324;6750;
12437;6749;
12545;6708;
12648;6689;
12746;6745;
12840;6793;
12928;6849;
13012;6866;
13091;6817;
13165;6849;
13234;6788;
13298;6626;
13358;6579;
13412;6539;
13462;6568;
13507;6568;
13548;6555;
13583;6597;
13614;6577;
13640;6553;
13662;6548;
13678;6570;
13690;6531;
13697;6524;
13700;6526;
13836;6526;
13830;6579;
13819;6599;
13804;6607;
13784;6611;
13759;6584;
13730;6511;
13695;6383;
13656;6145;
13612;5931;
13563;5783;
13509;5519;
13451;5307;
13388;5113;
13320;4969;
13247;4698;
13169;4625;
13086;4253;
12998;4182;
12906;4085;
12808;3972;
12706;3813;
12599;3847;
12487;3850;
12370;3876;
12248;3894;
12121;3869;
11990;3891;
11854;3780;
11713;3750;
11568;3597;
11418;3568;
11263;3502;
11104;3430;
10941;3401;
10773;3282;
10601;2949;
10425;2611;
10245;2274;
10061;1878;
9873;1752;
9681;1611;
9486;1344;
9287;867;
9086;623;
8881;460;
8673;476;
8463;499;
8250;547;
8035;659;
7817;812;
7598;955;
7377;952;
7155;953;
6931;933;
6706;936;
6481;850;
6255;742;
6030;744;
5804;719;
5578;710;
5353;676;
5129;729;
4907;783;
4686;860;
4466;911;
4249;890;
4034;892;
3822;897;
3612;926;
3406;935;
3204;919;
3005;918;
2810;963;
2620;945;
2435;943;
2255;972;
2079;980;
1910;1008;
1746;1082;
1588;1096;
1436;1128;
1291;1171;
1153;1156;
1022;1173;
898;1190;
781;1215;
671;1237;
570;1222;
476;1268;
391;1302;
313;1312;
244;1314;
183;1378;
131;1428;
87;1441;
52;1458;
26;1475;
8;1496;
0;1496;

