1717152335;
26985;
7318;
579;
32423;
1668;
4;1684;
17;1681;
39;1696;
70;1674;
109;1769;
157;1983;
213;2136;
278;2337;
351;2408;
433;2679;
522;2845;
620;3104;
725;3264;
838;3393;
958;3507;
1085;3910;
1220;4280;
1361;4788;
1509;4931;
1663;5052;
1823;5411;
1989;5695;
2161;6094;
2338;6713;
2520;7010;
2706;7318;
2898;7265;
3093;7214;
3293;7005;
3496;6915;
3702;6738;
3912;6594;
4124;6589;
4339;6604;
4555;6723;
4774;6786;
4994;6958;
5216;6997;
5439;6987;
5662;6949;
5886;6908;
6110;6859;
6334;6800;
6557;6789;
6780;6754;
7002;6793;
7223;6839;
7443;6861;
7661;6864;
7877;6874;
8091;6871;
8303;6857;
8513;6806;
8719;6774;
8923;6752;
9125;6704;
9322;6721;
9517;6766;
9708;6786;
9896;6857;
10079;6910;
10259;6890;
10435;6874;
10607;6827;
10775;6762;
10939;6755;
11098;6672;
11252;6679;
11403;6728;
11548;6740;
11689;6805;
11826;6832;
11958;6857;
12085;6852;
12207;6834;
12324;6749;
12437;6776;
12545;6728;
12648;6684;
12746;6703;
12840;6776;
12928;6830;
13012;6854;
13091;6830;
13165;6844;
13234;6818;
13298;6694;
13358;6691;
13412;6626;
13462;6621;
13507;6562;
13548;6562;
13583;6580;
13614;6596;
13640;6560;
13662;6502;
13678;6502;
13690;6480;
13697;6465;
13700;6456;
13836;6461;
13830;6492;
13819;6505;
13804;6495;
13784;6514;
13759;6488;
13730;6434;
13695;6317;
13656;6024;
13612;5882;
13563;5667;
13509;5445;
13451;5236;
13388;5049;
13320;4926;
13247;4783;
13169;4489;
13086;4323;
12998;4153;
12906;3978;
12808;3959;
12706;3877;
12599;3862;
12487;3896;
12370;3887;
12248;3928;
12121;3877;
11990;3899;
11854;3811;
11713;3760;
11568;3685;
11418;3588;
11263;3566;
11104;3466;
10941;3434;
10773;3235;
10601;3061;
10425;2660;
10245;2235;
10061;1958;
9873;1788;
9681;1591;
9486;1417;
9287;1232;
9086;897;
8881;579;
8673;649;
8463;739;
8250;756;
8035;776;
7817;979;
7598;1154;
7377;1156;
7155;1113;
6931;1081;
6706;1079;
6481;992;
6255;955;
6030;895;
5804;884;
5578;892;
5353;902;
5129;931;
4907;950;
4686;1004;
4466;1031;
4249;1071;
4034;1055;
3822;1057;
3612;1067;
3406;1055;
3204;1050;
3005;1055;
2810;1077;
2620;1094;
2435;1101;
2255;1118;
2079;1150;
1910;1179;
1746;1232;
1588;1266;
1436;1285;
1291;1317;
1153;1339;
1022;1327;
898;1326;
781;1383;
671;1407;
570;1407;
476;1405;
391;1468;
313;1497;
244;1496;
183;1519;
131;1572;
87;1570;
52;1603;
26;1621;
8;1638;
0;1655;

