1717152401;
26985;
7291;
528;
32423;
1668;
4;1660;
17;1669;
39;1679;
70;1688;
109;1786;
157;1987;
213;2181;
278;2303;
351;2425;
433;2657;
522;2929;
620;3034;
725;3233;
838;3352;
958;3524;
1085;3865;
1220;4171;
1361;4804;
1509;4923;
1663;5060;
1823;5331;
1989;5715;
2161;6045;
2338;6747;
2520;6995;
2706;7291;
2898;7270;
3093;7219;
3293;7012;
3496;6895;
3702;6708;
3912;6563;
4124;6606;
4339;6609;
4555;6720;
4774;6779;
4994;6925;
5216;6987;
5439;6987;
5662;6951;
5886;6886;
6110;6844;
6334;6810;
6557;6786;
6780;6749;
7002;6772;
7223;6815;
7443;6856;
7661;6891;
7877;6879;
8091;6839;
8303;6827;
8513;6796;
8719;6713;
8923;6687;
9125;6669;
9322;6696;
9517;6743;
9708;6762;
9896;6822;
10079;6871;
10259;6876;
10435;6874;
10607;6825;
10775;6732;
10939;6737;
11098;6641;
11252;6641;
11403;6708;
11548;6706;
11689;6772;
11826;6818;
11958;6854;
12085;6861;
12207;6811;
12324;6757;
12437;6762;
12545;6723;
12648;6667;
12746;6684;
12840;6730;
12928;6784;
13012;6788;
13091;6806;
13165;6794;
13234;6800;
13298;6701;
13358;6613;
13412;6597;
13462;6626;
13507;6541;
13548;6524;
13583;6538;
13614;6579;
13640;6519;
13662;6509;
13678;6500;
13690;6448;
13697;6477;
13700;6436;
13836;6451;
13830;6470;
13819;6512;
13804;6517;
13784;6526;
13759;6512;
13730;6471;
13695;6354;
13656;6069;
13612;5856;
13563;5669;
13509;5434;
13451;5256;
13388;5043;
13320;4950;
13247;4805;
13169;4539;
13086;4222;
12998;4148;
12906;3993;
12808;3945;
12706;3857;
12599;3853;
12487;3894;
12370;3911;
12248;3944;
12121;3904;
11990;3913;
11854;3818;
11713;3806;
11568;3743;
11418;3670;
11263;3614;
11104;3559;
10941;3571;
10773;3547;
10601;3434;
10425;3292;
10245;2917;
10061;2533;
9873;2210;
9681;2031;
9486;1798;
9287;1541;
9086;1363;
8881;1127;
8673;528;
8463;533;
8250;605;
8035;714;
7817;724;
7598;841;
7377;1157;
7155;1242;
6931;1222;
6706;1122;
6481;1111;
6255;1091;
6030;1038;
5804;867;
5578;824;
5353;839;
5129;861;
4907;904;
4686;946;
4466;963;
4249;1008;
4034;1071;
3822;1074;
3612;1072;
3406;1077;
3204;1113;
3005;1086;
2810;1069;
2620;1093;
2435;1099;
2255;1088;
2079;1147;
1910;1169;
1746;1210;
1588;1290;
1436;1290;
1291;1319;
1153;1366;
1022;1383;
898;1407;
781;1392;
671;1411;
570;1436;
476;1426;
391;1431;
313;1470;
244;1518;
183;1526;
131;1558;
87;1572;
52;1623;
26;1659;
8;1642;
0;1655;

