8088;
4878;
13780;
217;
1129185280;
5175;19;
5268;79;
5288;79;
5343;79;
5403;79;
5496;78;
5528;79;
5602;79;
5640;79;
5676;78;
5675;79;
5700;79;
5702;78;
5738;79;
5823;79;
5905;78;
6044;79;
6122;79;
6189;79;
6220;78;
6261;79;
6274;79;
6376;79;
6421;78;
6518;79;
6585;79;
6661;79;
6710;79;
6785;78;
6828;79;
6894;79;
7009;79;
7090;79;
7295;79;
7364;79;
7434;79;
7470;79;
7525;79;
7552;79;
7612;79;
7622;79;
7771;79;
7859;79;
7893;79;
7865;79;
7852;80;
7829;78;
7799;80;
7791;78;
7721;79;
7681;79;
7675;79;
7699;79;
7694;79;
7682;79;
7686;79;
7695;79;
7720;79;
7867;79;
7905;79;
7879;79;
7863;79;
7873;79;
7854;79;
7839;79;
7816;79;
7779;79;
7749;79;
7732;79;
7749;79;
7755;78;
7787;80;
7762;78;
7763;80;
7778;78;
7848;80;
7921;79;
7890;79;
7867;79;
7813;79;
7829;79;
7843;79;
7826;79;
7797;79;
7743;79;
7758;79;
7763;79;
7828;79;
7813;79;
7805;79;
7823;80;
7866;79;
8015;79;
8029;79;
8040;79;
7991;80;
7965;79;
7917;80;
7955;79;
7808;79;
7790;80;
7839;79;
7806;79;
7874;79;
7888;80;
7890;79;
7910;79;
7890;79;
7845;80;
7774;79;
7725;79;
7629;80;
7551;79;
7423;80;
7381;79;
7334;80;
7294;79;
7214;80;
7148;79;
7077;80;
7052;79;
7026;80;
7002;79;
6941;80;
6924;80;
6858;79;
6862;80;
6849;79;
6890;80;
6909;80;
6887;79;
6891;80;
6862;80;
6806;80;
6727;79;
6570;80;
6584;80;
6564;80;
6572;79;
6546;80;
6567;80;
6472;80;
6415;80;
6109;79;
5930;81;
5943;79;
5972;80;
6011;80;
6019;80;
5994;80;
5777;80;
5518;80;
5231;80;
5260;80;
5264;80;
5269;80;
5264;80;
5246;80;
5170;80;
4925;80;
4954;80;
4968;80;
4984;80;
4978;80;
4990;80;
4982;80;
5022;80;
5065;79;
5066;80;
5059;80;
5033;80;
5020;79;
5004;80;
5012;80;
4996;79;
4975;80;
4968;80;
4972;79;
4992;80;
5002;79;
5014;80;
5006;79;
5011;80;
5011;79;
5010;80;
5007;79;
5003;79;
4989;80;
4978;79;
4974;79;
4977;80;
4978;79;
4985;79;
4985;79;
4992;79;
5004;80;
5011;79;
5020;79;
5017;79;
5015;79;
5007;79;
5005;79;
5000;79;
4995;79;
4991;79;
4986;79;
4989;79;
4991;79;
4999;79;
5007;79;
5006;79;
5008;78;
5004;79;
4997;79;
5008;79;
5040;79;
5111;79;

