1716441523;
26985;
7716;
1256;
13790;
1663;
4;2182;
17;2242;
39;2233;
70;2255;
109;2449;
157;2725;
213;2791;
278;2963;
351;3029;
433;3264;
522;3471;
620;3666;
725;3818;
838;3911;
958;4042;
1085;4454;
1220;5020;
1361;5115;
1509;5297;
1663;5701;
1823;5900;
1989;6198;
2161;6577;
2338;7141;
2520;7587;
2706;7716;
2898;7697;
3093;7610;
3293;7553;
3496;7406;
3702;7146;
3912;6966;
4124;6987;
4339;7009;
4555;7106;
4774;7192;
4994;7242;
5216;7361;
5439;7327;
5662;7332;
5886;7276;
6110;7250;
6334;7231;
6557;7155;
6780;7179;
7002;7146;
7223;7228;
7443;7264;
7661;7269;
7877;7267;
8091;7293;
8303;7282;
8513;7184;
8719;7111;
8923;7123;
9125;7124;
9322;7145;
9517;7174;
9708;7148;
9896;7228;
10079;7202;
10259;7180;
10435;7165;
10607;7160;
10775;7170;
10939;7099;
11098;7090;
11252;7117;
11403;7131;
11548;7150;
11689;7168;
11826;7211;
11958;7233;
12085;7216;
12207;7182;
12324;7170;
12437;7187;
12545;7167;
12648;7162;
12746;7145;
12840;7213;
12928;7274;
13012;7245;
13091;7206;
13165;7153;
13234;7097;
13298;7056;
13358;7004;
13412;6992;
13462;6947;
13507;6934;
13548;6941;
13583;6944;
13614;6905;
13640;6869;
13662;6885;
13678;6868;
13690;6898;
13697;6859;
13700;6852;
13836;6900;
13830;6902;
13819;6961;
13804;6953;
13784;6917;
13759;6891;
13730;6789;
13695;6616;
13656;6446;
13612;6239;
13563;6097;
13509;5846;
13451;5766;
13388;5392;
13320;5315;
13247;5241;
13169;5071;
13086;4785;
12998;4528;
12906;4464;
12808;4438;
12706;4369;
12599;4379;
12487;4384;
12370;4430;
12248;4428;
12121;4380;
11990;4362;
11854;4336;
11713;4233;
11568;4131;
11418;4013;
11263;3986;
11104;3904;
10941;3816;
10773;3683;
10601;3323;
10425;2929;
10245;2611;
10061;2356;
9873;2184;
9681;2046;
9486;1839;
9287;1382;
9086;1256;
8881;1280;
8673;1358;
8463;1404;
8250;1394;
8035;1596;
7817;1740;
7598;1761;
7377;1689;
7155;1683;
6931;1689;
6706;1604;
6481;1565;
6255;1492;
6030;1485;
5804;1504;
5578;1473;
5353;1523;
5129;1524;
4907;1536;
4686;1618;
4466;1660;
4249;1652;
4034;1652;
3822;1660;
3612;1703;
3406;1647;
3204;1666;
3005;1660;
2810;1715;
2620;1688;
2435;1693;
2255;1747;
2079;1735;
1910;1766;
1746;1837;
1588;1810;
1436;1842;
1291;1863;
1153;1904;
1022;1919;
898;1921;
781;1973;
671;1934;
570;1975;
476;1989;
391;2012;
313;2058;
244;2070;
183;2121;
131;2148;
87;2176;
52;2179;
26;2194;
8;2230;
0;2198;

